,name,latitude,longitude,n_officers,simulation_name,immediate_count,prompt_count,other_count,station_number,immediate_within_time_count,prompt_within_time_count,other_within_time_count,min_SFI,Location Category,imm_res_per_officer,pro_res_per_officer,other_res_per_officer,neg_min_SFI,service_provision_index,cost_index,DPU_ResponseOfficers_Count,Property Size GIA sq.m,Co-Located,Condition Grade,infrastructure metric,estate_index,estate_per_cost
21,Bowmore,55.757186644799326,-6.283232006169239,4.0,station_22,0.0,0.004032258064516129,0.0,22,0.0,1.0,0.0,0.0006103283630246712,Urban,0.0,0.019230769230769232,0.0,0.6636502964040101,0.12367409615384617,0.6810834168697539,0.011019283746556474,0.03220241518113859,0.0,0.5,0.13580542473192375,0.2544128909148883,0.37354145558875146
24,Dumbarton,55.94736996027988,-4.545824601306138,153.0,station_25,0.5454545454545455,0.3790322580645161,0.40540540540540543,25,0.5476190476190477,1.0,1.0,0.0011874668572113022,Urban,0.0784313725490196,0.047259929612870795,0.030165912518853696,0.34559140677370404,0.44290424725274724,0.6644019399771469,0.42148760330578516,0.5470576959938661,0.0,0.0,0.24213632482491282,0.40661291833377766,0.6119983911361904
27,Lochgilphead,56.03579535084889,-5.431529788669162,22.0,station_28,0.09090909090909091,0.07661290322580645,0.0,28,0.5714285714285714,0.9473684210526315,0.0,0.0008042965761269375,Urban,0.0909090909090909,0.06643356643356643,0.0,0.5567551315444443,0.4122313396866292,0.6542104525467825,0.06060606060606061,0.17941345600920067,1.0,0.5,0.4350048791538153,0.43109205150317415,0.6589501128038715
28,Mull (Bunessan),56.31465189363799,-6.236681832859749,1.0,station_29,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0012899507713112776,Urban,0.0,0.0,0.0,0.28911290074449925,0.0,0.21797306931021382,0.0027548209366391185,0.0,0.0,0.5,0.1256887052341598,0.0776277686833857,0.35613467722890024
29,Mull (Craignure),56.4681424140162,-5.699982627924701,1.0,station_30,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0007215277372983707,Urban,0.0,0.0,0.0,0.6023687325067306,0.0,0.7978198075022902,0.0027548209366391185,0.00920069005175388,0.0,0.5,0.12798887774709825,0.15069255919761415,0.18888044365479303
31,Mull (Tobermory),56.62658864435287,-6.06814707365749,2.0,station_32,0.012987012987012988,0.004032258064516129,0.0,32,1.0,1.0,0.0,0.0017168196574906109,Urban,0.14285714285714285,0.038461538461538464,0.0,0.05386703632288248,0.6301931923076923,0.8345176305828157,0.005509641873278237,0.016676250718803912,0.0,0.5,0.13054647314802054,0.440348079384073,0.527667796636651
34,Tiree (Scarinish),56.50346191484231,-6.807141674396724,1.0,station_35,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0017770866818880417,Urban,0.0,0.0,0.0,0.0206541020718346,0.0,0.8368056607347495,0.0027548209366391185,0.009104849530381445,0.0,0.5,0.12796491761675513,0.015152256746766377,0.018107258898633738
39,Cumbernauld,55.95041994972852,-3.9863526847785886,88.0,station_40,0.4285714285714286,0.45564516129032256,0.0,40,0.8181818181818182,1.0,0.5,0.001623483559868638,Urban,0.10714285714285714,0.09877622377622379,0.0,0.10530421452377159,0.5608225393356643,0.6667045378696816,0.24242424242424243,0.3145485911443358,0.0,0.5,0.26424320839214455,0.42377973867435825,0.6356334997035717
43,Larkhall,55.73845498290695,-3.9740867813446057,50.0,station_44,0.19480519480519481,0.25,0.35135135135135137,44,0.6666666666666666,1.0,1.0,0.0012301080833207315,Urban,0.0857142857142857,0.09538461538461539,0.08,0.32209198477109857,0.5056874235897436,0.6671947317126413,0.13774104683195593,0.11615871190339275,0.0,0.5,0.18847493968383716,0.433480046202973,0.6497054392055234
45,Motherwell,55.78420517568061,-3.981503929522643,148.0,station_46,0.4545454545454546,0.3870967741935484,0.3783783783783784,46,1.0,1.0,1.0,0.0015471906060658977,Urban,0.06756756756756756,0.0498960498960499,0.029106029106029108,0.14734897919904022,0.6516718794178794,0.7753937903940439,0.40771349862258954,0.6137626988690817,0.0,0.0,0.2553690493729178,0.49451397314699097,0.6377584902965062
47,Shotts,55.82052431475598,-3.7995390452885625,18.0,station_48,0.18181818181818182,0.16129032258064516,0.05405405405405406,48,0.5,1.0,1.0,0.0015168822143935678,Urban,0.2222222222222222,0.17094017094017094,0.03418803418803419,0.16405182175569077,0.46910793589743593,0.6402097350651519,0.049586776859504134,0.06306306306306306,0.0,0.0,0.028162459980641798,0.3598272509704342,0.5620458909982302
53,Girvan,55.24830597428874,-4.8468716190419,13.0,station_55,0.06493506493506494,0.04838709677419355,0.0,55,0.6,1.0,0.5,0.0008691646897541479,Urban,0.10989010989010989,0.07100591715976332,0.0,0.521006554035748,0.4571975934911242,1.0,0.03581267217630854,0.016676250718803912,1.0,0.5,0.3881222307237781,0.4517228782583851,0.4517228782583851
57,Lamlash,55.52917220012738,-5.131519859646447,8.0,station_59,0.012987012987012988,0.04838709677419355,0.0,59,0.0,1.0,0.5,0.0004935552593891387,Urban,0.03571428571428571,0.11538461538461539,0.0,0.7280035219384549,0.16110907692307694,0.8488592751665799,0.02203856749311295,0.015526164462334676,0.0,0.5,0.1343911829888619,0.29627495885362615,0.3490271797943013
59,Millport,55.7500579944958,-4.936183823971273,3.0,station_62,0.025974025974025976,0.012096774193548387,0.0,62,0.0,1.0,0.0,0.0007408877600395607,Urban,0.19047619047619047,0.07692307692307693,0.0,0.5916994955760726,0.17865038461538463,0.66779574422631,0.008264462809917356,0.013801035077630822,0.0,0.5,0.13051637447188705,0.27571089621667255,0.4128671058485161
64,Castle Douglas,54.940813744405546,-3.9280386436715027,25.0,station_67,0.09090909090909091,0.13709677419354838,0.13513513513513514,67,0.14285714285714285,1.0,1.0,0.001814564890349283,Urban,0.08,0.10461538461538462,0.06153846153846154,0.0,0.25976578637362635,0.7322316666600768,0.06887052341597796,0.05117883841288096,0.0,0.5,0.15501234045721474,0.19574598597504747,0.2673279439933297
67,Newton Stewart,54.96167991727463,-4.484344386244068,18.0,station_70,0.09090909090909091,0.056451612903225805,0.13513513513513514,70,0.42857142857142855,1.0,1.0,0.0010484156749222698,Urban,0.1111111111111111,0.05982905982905983,0.08547008547008547,0.4222219990598066,0.3981598791208791,0.6466997987400492,0.049586776859504134,0.07264711520030669,0.0,0.5,0.1555584730149527,0.3830490128127443,0.5923134869672607
68,Sanquhar,55.368585513308275,-3.927866790516721,15.0,station_71,0.18181818181818182,0.0846774193548387,0.10810810810810811,71,0.07142857142857142,0.9523809523809523,1.0,0.0015755930304696983,Urban,0.26666666666666666,0.1076923076923077,0.08205128205128205,0.13169650815495793,0.27032476666666666,0.6870898219175938,0.04132231404958678,0.04389495878857581,0.0,0.5,0.14630431820954065,0.23432507807503422,0.34103994936361903
69,Stranraer,54.90522821603606,-5.022334018480314,36.0,station_72,0.15584415584415584,0.22983870967741934,0.13513513513513514,72,0.9166666666666666,1.0,1.0,0.00048090483012507723,Urban,0.09523809523809523,0.12179487179487179,0.042735042735042736,0.734975126718941,0.6264596410256409,0.9654544547587596,0.09917355371900827,0.06555491661874639,0.0,0.5,0.16618211758443868,0.604997590184571,0.626645397100315
