,name,latitude,longitude,n_officers,simulation_name,immediate_count,prompt_count,other_count,station_number,immediate_within_time_count,prompt_within_time_count,other_within_time_count,min_SFI,Location Category,imm_res_per_officer,pro_res_per_officer,other_res_per_officer,neg_min_SFI,service_provision_index,cost_index,DPU_ResponseOfficers_Count,Property Size GIA sq.m,Co-Located,Condition Grade,infrastructure metric,estate_index
0,"Baird Street, Glasgow",55.86954175096648,-4.236984214612192,153.0,station_1,0.5454545454545455,0.5564516129032258,0.8648648648648649,1,1.0,1.0,1.0,0.0013742681325967755,Urban,0.0784313725490196,0.0693815987933635,0.06435394670688789,0.2426459147833261,0.6569800030165912,0.6628666666990151,0.42148760330578516,0.6687751581368602,0.0,0.5,0.39756569036066136,0.531711959935849
1,Barrhead,55.79993040376852,-4.3904263676358575,37.0,station_2,0.16883116883116883,0.27419354838709675,0.2702702702702703,2,0.7692307692307693,1.0,1.0,0.0012113287765509048,Urban,0.10038610038610038,0.14137214137214138,0.08316008316008316,0.33244119127768534,0.5614857858627859,0.6271103553549513,0.10192837465564739,0.10523289246693501,0.0,0.0,0.0517903167806456,0.4599242905733098
2,Bishopbriggs,55.90382165317414,-4.226463300099154,4.0,station_3,0.14285714285714288,0.12903225806451613,0.35135135135135137,3,1.0,1.0,1.0,0.0014029730147645928,Urban,0.7857142857142857,0.6153846153846154,1.0,0.22682676038411798,0.9103810769230769,0.6418224283048151,0.011019283746556474,0.08376461567950928,0.0,0.5,0.14869597485651645,0.6788329365478745
3,"Cathcart, Glasgow",55.82900255217183,-4.2481482036899285,117.0,station_4,0.48051948051948057,0.4193548387096774,0.7837837837837838,4,1.0,1.0,1.0,0.0013433599986818767,Urban,0.09035409035409034,0.06837606837606838,0.0762656147271532,0.25967927307174155,0.6602906982248521,0.7314662444444804,0.3223140495867769,0.45006708836496073,0.0,0.5,0.3180952844879344,0.5310353705760271
4,Cowcaddens,55.86849410138634,-4.257926634212031,89.0,station_5,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0013567029939120436,Urban,0.24719101123595505,0.21434745030250651,0.1279170267934313,0.252325997748753,0.7151463923941227,0.6679074440325996,0.24517906336088155,0.7416139543799117,0.0,0.5,0.3716982544351983,0.565519495024311
5,Drumchapel,55.90941104174521,-4.37461540930658,109.0,station_6,0.28571428571428575,0.3225806451612903,0.32432432432432434,6,1.0,1.0,1.0,0.001289393170619188,Urban,0.057667103538663174,0.056457304163726185,0.03387438249823571,0.28942019242365336,0.6497397939308398,0.6723716235889531,0.30027548209366395,0.24669350201265094,0.0,1.0,0.3867422460265787,0.5377910949980216
6,"Easterhouse, Glasgow",55.86861714062789,-4.119148307826863,57.0,station_7,0.7662337662337663,0.4879032258064516,0.8378378378378379,7,0.9830508474576272,1.0,1.0,0.001469837376111741,Urban,0.29573934837092736,0.16329284750337383,0.16734143049932526,0.1899780581399797,0.716479508131476,0.6605611393204742,0.15702479338842976,0.2294422081656124,0.0,0.0,0.09661675038851053,0.5338450285833597
7,"Giffnock, East Renfrewshire",55.80600779663986,-4.293164756911672,41.0,station_8,0.4415584415584416,0.407258064516129,0.35135135135135137,8,0.9705882352941176,1.0,1.0,0.0012947493209671795,Urban,0.23693379790940763,0.18949343339587243,0.0975609756097561,0.2864684377763117,0.6959009108818011,0.6409466866124328,0.11294765840220386,0.19781483611270845,0.0,0.5,0.20269062362872808,0.5494005758623747
8,"Gorbals, Glasgow",55.84699895359203,-4.247957351656175,75.0,station_9,0.5584415584415585,0.49193548387096775,0.40540540540540543,9,1.0,1.0,1.0,0.001352904063955863,Urban,0.16380952380952382,0.12512820512820513,0.06153846153846154,0.2544195739974642,0.6841209784615385,0.6792569548371824,0.2066115702479339,0.11826720337358634,0.0,0.5,0.20621969340538004,0.5373852843687047
9,"Helen Street, Govan",55.84906160596771,-4.317443958904684,363.0,station_10,0.36363636363636365,0.3709677419354839,0.5675675675675675,10,1.0,1.0,1.0,0.0012151629241168064,Urban,0.02203856749311295,0.019495655859292225,0.017800381436745075,0.33032820673450736,0.6368558601398602,0.7141615416753309,1.0,0.9999999999999999,0.0,0.5,0.625,0.5712568981068389
10,Kirkintilloch,55.93560215774633,-4.157725373609138,78.0,station_11,0.33766233766233766,0.21774193548387097,0.40540540540540543,11,0.8076923076923077,1.0,1.0,0.0014775422244148076,Urban,0.09523809523809523,0.05325443786982249,0.0591715976331361,0.1857319447361303,0.5700226952662721,0.6443768843164036,0.21487603305785125,0.3141652290588461,1.0,0.5,0.5072603155291744,0.4599895035128679
11,"Maryhill, Glasgow",55.889431891454,-4.287769445382637,150.0,station_12,0.4285714285714286,0.4274193548387097,0.35135135135135137,12,1.0,1.0,1.0,0.0013451305756575639,Urban,0.06285714285714285,0.05435897435897436,0.02666666666666667,0.2587035146488249,0.6507627784615384,0.6246249697461809,0.4132231404958678,0.8445466743339083,0.0,0.0,0.314442453707444,0.5219847597580373
12,Milngavie,55.93541992830923,-4.316179054824575,3.0,station_13,0.1038961038961039,0.10080645161290322,0.1891891891891892,13,1.0,1.0,1.0,0.0013528451630931751,Urban,0.7619047619047619,0.6410256410256411,0.7179487179487181,0.2544520340450498,0.9000460769230769,0.6132176093844962,0.008264462809917356,0.22886716503737778,0.0,0.5,0.18428290696182378,0.6782306409136666
13,"Pollok, Glasgow",55.82609529382778,-4.347915192891186,104.0,station_14,0.3116883116883117,0.3064516129032258,0.5675675675675675,14,1.0,1.0,1.0,0.0012599242002092738,Urban,0.06593406593406594,0.05621301775147929,0.062130177514792904,0.3056604330271414,0.652519298816568,0.6731066646157362,0.2865013774104683,0.18152194747939426,0.0,0.5,0.24200583122246566,0.5322179928738364
14,"West End, Glasgow",55.87029826519326,-4.318453454448957,150.0,station_15,0.5194805194805195,0.4274193548387097,0.4864864864864865,15,1.0,1.0,1.0,0.0013089294395370859,Urban,0.07619047619047618,0.05435897435897436,0.036923076923076927,0.2786538268768487,0.6544933261538461,0.6566411027188013,0.4132231404958678,0.4249626221966648,0.0,0.5,0.33454644067313316,0.5359307393759831
15,"Ferguslie Park, Paisley",55.848758827093704,-4.455780196830393,10.0,station_16,0.2337662337662338,0.22983870967741934,0.32432432432432434,16,0.9444444444444444,1.0,1.0,0.0010046967079296054,Urban,0.5142857142857142,0.4384615384615385,0.36923076923076925,0.44631536007719586,0.783918347008547,0.5999621354289597,0.027548209366391185,0.07130534790109257,0.0,0.5,0.14971338931687095,0.6428961746184407
16,Johnstone,55.83511580096816,-4.512687103455785,8.0,station_17,0.36363636363636365,0.31048387096774194,0.2972972972972973,17,0.8571428571428571,1.0,1.0,0.001131826343494665,Urban,1.0,0.7403846153846154,0.42307692307692313,0.3762546880994697,0.897773537087912,0.6275706444397042,0.02203856749311295,0.06843013225991948,1.0,0.5,0.3976171749382581,0.7181650721258033
17,"Mill Street, Paisley",55.84596658018667,-4.417982170970074,189.0,station_18,0.38961038961038963,0.3870967741935484,0.5945945945945946,18,1.0,1.0,1.0,0.0007093872079857936,Urban,0.04535147392290249,0.03907203907203907,0.03581603581603582,0.6090593333097916,0.6450581587301587,0.6714701523418174,0.5206611570247934,0.908184780525206,0.0,0.0,0.35721148438749983,0.6058789508860527
18,Osprey,55.85923703930859,-4.424607832857504,57.0,station_19,0.25974025974025977,0.27419354838709675,0.10810810810810811,19,0.95,1.0,1.0,0.0,Urban,0.10025062656641603,0.09176788124156546,0.021592442645074223,0.9999999999999999,0.6403105285425101,0.7922792998115857,0.15702479338842976,0.2505271228675484,0.0,0.5,0.22688797906399455,0.6802722812762745
19,Renfrew,55.88015519949693,-4.383029189062418,97.0,station_20,0.24675324675324678,0.2701612903225806,0.5675675675675675,20,1.0,1.0,1.0,0.00126344773294916,Urban,0.05596465390279823,0.05313243457573355,0.06661379857256146,0.3037186271657881,0.6497364496431404,0.6680147760244411,0.2672176308539945,0.23365919110599961,0.0,1.0,0.37521920548999854,0.5393756700825164
20,"Rue End Street, Greenock",55.94698237864084,-4.7510686034680525,117.0,station_21,0.5064935064935066,0.5362903225806451,0.40540540540540543,21,0.6153846153846154,1.0,1.0,0.0008728060166497225,Urban,0.09523809523809523,0.08744247205785667,0.03944773175542406,0.5189998322508502,0.48263916765285997,0.7107128889477934,0.3223140495867769,0.6492236917768832,0.0,0.0,0.24288443534091503,0.4685026277429449
21,Bowmore,55.757186644799326,-6.283232006169239,4.0,station_22,0.0,0.004032258064516129,0.0,22,0.0,1.0,0.0,0.0006103283630246712,Urban,0.0,0.019230769230769232,0.0,0.6636502964040101,0.12367409615384617,0.6810834168697539,0.011019283746556474,0.03220241518113859,0.0,0.5,0.13580542473192375,0.2544128909148883
22,Campbeltown,55.428764050029535,-5.609618922422527,19.0,station_23,0.07792207792207792,0.04838709677419355,0.05405405405405406,23,0.8333333333333334,1.0,1.0,0.00017941957881480853,Urban,0.09022556390977443,0.048582995951417005,0.032388663967611336,0.901122533688904,0.5796927847503374,0.7141367838264434,0.05234159779614325,0.2585777266628331,0.0,0.5,0.20272983111474407,0.6127074020168527
23,Clydebank,55.90736678871555,-4.399386966495954,53.0,station_24,0.5454545454545455,0.47177419354838707,0.40540540540540543,24,0.8809523809523809,1.0,1.0,0.0012686497006393926,Urban,0.22641509433962265,0.169811320754717,0.08708272859216255,0.300851842010901,0.649326913919414,0.7159801380776014,0.14600550964187328,0.41153919877324135,0.0,0.5,0.26438617710377865,0.5260811655765396
24,Dumbarton,55.94736996027988,-4.545824601306138,153.0,station_25,0.5454545454545455,0.3790322580645161,0.40540540540540543,25,0.5476190476190477,1.0,1.0,0.0011874668572113022,Urban,0.0784313725490196,0.047259929612870795,0.030165912518853696,0.34559140677370404,0.44290424725274724,0.6644019399771469,0.42148760330578516,0.5470576959938661,0.0,0.0,0.24213632482491282,0.40661291833377766
25,Dunoon,55.95549428777036,-4.927678578960997,39.0,station_26,0.1038961038961039,0.1411290322580645,0.16216216216216217,26,0.75,1.0,1.0,0.0004753766412247309,Urban,0.0586080586080586,0.06903353057199212,0.04733727810650888,0.7380216911762101,0.5345276819526626,0.7105597414968475,0.10743801652892562,0.1514280237684493,0.0,0.5,0.18971651007434373,0.5471491001105783
26,Helensburgh,56.00456401237965,-4.729205509807327,34.0,station_27,0.2077922077922078,0.16129032258064516,0.13513513513513514,27,0.625,1.0,1.0,0.0010751101340813786,Urban,0.13445378151260504,0.0904977375565611,0.04524886877828055,0.40751078134525553,0.49782456730769226,0.6424880296939962,0.09366391184573003,0.10772474602261835,0.0,0.5,0.1753471644670871,0.44659122626404324
27,Lochgilphead,56.03579535084889,-5.431529788669162,22.0,station_28,0.09090909090909091,0.07661290322580645,0.0,28,0.5714285714285714,0.9473684210526315,0.0,0.0008042965761269375,Urban,0.0909090909090909,0.06643356643356643,0.0,0.5567551315444443,0.4122313396866292,0.6542104525467825,0.06060606060606061,0.17941345600920067,1.0,0.5,0.4350048791538153,0.43109205150317415
28,Mull (Bunessan),56.31465189363799,-6.236681832859749,1.0,station_29,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0012899507713112776,Urban,0.0,0.0,0.0,0.28911290074449925,0.0,0.21797306931021382,0.0027548209366391185,0.0,0.0,0.5,0.1256887052341598,0.0776277686833857
29,Mull (Craignure),56.4681424140162,-5.699982627924701,1.0,station_30,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0007215277372983707,Urban,0.0,0.0,0.0,0.6023687325067306,0.0,0.7978198075022902,0.0027548209366391185,0.00920069005175388,0.0,0.5,0.12798887774709825,0.15069255919761415
30,Mull (Salen),56.520526006336304,-5.944572144635259,1.0,station_31,0.0,0.0,0.0,31,0.0,0.0,0.0,0.001286403466314633,Urban,0.0,0.0,0.0,0.2910678074086317,0.0,0.0,0.0027548209366391185,0.0005750431282346177,0.0,0.5,0.12583246601621845,0.07808802329323034
31,Mull (Tobermory),56.62658864435287,-6.06814707365749,2.0,station_32,0.012987012987012988,0.004032258064516129,0.0,32,1.0,1.0,0.0,0.0017168196574906109,Urban,0.14285714285714285,0.038461538461538464,0.0,0.05386703632288248,0.6301931923076923,0.8345176305828157,0.005509641873278237,0.016676250718803912,0.0,0.5,0.13054647314802054,0.440348079384073
32,Oban,56.41116267846593,-5.47395668624676,37.0,station_33,0.06493506493506494,0.16532258064516128,0.10810810810810811,33,0.8,0.975609756097561,1.0,0.0003086468442606434,Urban,0.03861003861003861,0.08523908523908524,0.033264033264033266,0.829905865641855,0.5507415099437148,0.7398195208113478,0.10192837465564739,0.1395437991182672,1.0,0.0,0.3103680434434786,0.5789188126416125
33,Rothesay,55.835618569144714,-5.054593963208663,14.0,station_34,0.012987012987012988,0.08064516129032258,0.0,34,1.0,1.0,0.5,0.0007253884240765066,Urban,0.02040816326530612,0.1098901098901099,0.0,0.600241122301844,0.6239647637362639,0.7382728034564983,0.03856749311294766,0.12785125551082996,0.0,0.0,0.041604687155944405,0.5560143649921838
34,Tiree (Scarinish),56.50346191484231,-6.807141674396724,1.0,station_35,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0017770866818880417,Urban,0.0,0.0,0.0,0.0206541020718346,0.0,0.8368056607347495,0.0027548209366391185,0.009104849530381445,0.0,0.5,0.12796491761675513,0.015152256746766377
35,Airdrie,55.866631702917886,-3.9821522482948315,40.0,station_36,0.6363636363636364,0.4758064516129032,0.8108108108108109,36,0.8979591836734694,1.0,1.0,0.0015816911915889338,Urban,0.35000000000000003,0.22692307692307695,0.23076923076923078,0.12833583411587102,0.6978297883045527,0.6528194801229406,0.11019283746556474,0.2854130726471152,0.0,0.5,0.22390147752816997,0.5166163548286545
36,Bellshill,55.81876919436867,-4.018505936698126,57.0,station_37,0.5064935064935066,0.29838709677419356,0.2702702702702703,37,1.0,1.0,1.0,0.0006505303393781826,Urban,0.19548872180451127,0.0998650472334683,0.05398110661268556,0.6414951359204557,0.6901087854251012,0.6779098958516863,0.15702479338842976,0.1631205673758865,0.0,0.0,0.08003634019107907,0.6195874549224871
37,Blantyre,55.79166410942173,-4.090560020317617,33.0,station_38,0.49350649350649356,0.3548387096774194,0.5135135135135136,38,0.8947368421052632,1.0,1.0,0.0014578337127955708,Urban,0.329004329004329,0.20512820512820512,0.17715617715617718,0.1965932325986124,0.6877476768494664,0.6200719459339135,0.09090909090909091,0.21602453517347134,0.0,0.5,0.20173340652064056,0.5239389489707558
38,Coatbridge,55.86064093337791,-4.027708551974589,140.0,station_39,0.4545454545454546,0.4475806451612903,0.4594594594594595,39,1.0,1.0,1.0,0.00154108862840564,Urban,0.07142857142857142,0.06098901098901099,0.03736263736263736,0.1507117565197693,0.6538205115384615,0.6935331707347007,0.3856749311294766,0.4146060954571593,0.0,0.5,0.325070256646659,0.504074444754295
39,Cumbernauld,55.95041994972852,-3.9863526847785886,88.0,station_40,0.4285714285714286,0.45564516129032256,0.0,40,0.8181818181818182,1.0,0.5,0.001623483559868638,Urban,0.10714285714285714,0.09877622377622379,0.0,0.10530421452377159,0.5608225393356643,0.6667045378696816,0.24242424242424243,0.3145485911443358,0.0,0.5,0.26424320839214455,0.42377973867435825
40,East Kilbride,55.76247742799585,-4.176252320487723,117.0,station_41,0.6103896103896105,0.5080645161290323,0.7027027027027027,41,0.9574468085106383,1.0,1.0,0.001374022422962797,Urban,0.11477411477411477,0.08284023668639054,0.06837606837606838,0.24278132445386758,0.6478819232028201,0.6739560325044763,0.3223140495867769,0.3160820394862948,0.0,0.0,0.15959902226826794,0.5082193233762422
41,Hamilton,55.775781780198734,-4.035543971438616,121.0,station_42,0.35064935064935066,0.31451612903225806,0.21621621621621623,42,1.0,1.0,1.0,0.0014982620940780995,Urban,0.06375442739079103,0.049586776859504134,0.020343293070565798,0.17431330119602328,0.6504487260012715,0.6543917342224319,0.33333333333333337,0.41575618171362855,0.0,0.0,0.18727237876174047,0.4943767537971012
42,Lanark,55.67404407837838,-3.7839806231067867,47.0,station_43,0.1168831168831169,0.18951612903225806,0.10810810810810811,43,0.6666666666666666,1.0,1.0,0.00011817420144211579,Urban,0.054711246200607896,0.07692307692307693,0.02618657937806874,0.9348746346462325,0.49476385815602836,0.6778171223523407,0.12947658402203857,0.18018018018018017,0.0,0.5,0.2024141910505547,0.5686538378520902
43,Larkhall,55.73845498290695,-3.9740867813446057,50.0,station_44,0.19480519480519481,0.25,0.35135135135135137,44,0.6666666666666666,1.0,1.0,0.0012301080833207315,Urban,0.0857142857142857,0.09538461538461539,0.08,0.32209198477109857,0.5056874235897436,0.6671947317126413,0.13774104683195593,0.11615871190339275,0.0,0.5,0.18847493968383716,0.433480046202973
44,Lesmahagow,55.64250962379809,-3.88082640365988,3.0,station_45,0.12987012987012989,0.15725806451612903,0.21621621621621623,45,0.7,1.0,1.0,0.0006531587933234018,Urban,0.9523809523809523,1.0,0.8205128205128205,0.6400466046724422,0.8429215153846152,0.23950492074272084,0.008264462809917356,0.0032585777266628327,1.0,0.5,0.37788076013414507,0.743422825411605
45,Motherwell,55.78420517568061,-3.981503929522643,148.0,station_46,0.4545454545454546,0.3870967741935484,0.3783783783783784,46,1.0,1.0,1.0,0.0015471906060658977,Urban,0.06756756756756756,0.0498960498960499,0.029106029106029108,0.14734897919904022,0.6516718794178794,0.7753937903940439,0.40771349862258954,0.6137626988690817,0.0,0.0,0.2553690493729178,0.49451397314699097
46,"Rutherglen, Glasgow",55.82933436306898,-4.209014760885134,76.0,station_47,0.9610389610389611,0.6370967741935484,0.8108108108108109,47,0.9864864864864865,1.0,1.0,0.0010792238526059043,Urban,0.2781954887218045,0.15991902834008098,0.12145748987854252,0.4052437262807581,0.7121664170040486,0.6634599245091599,0.209366391184573,0.2252252252252252,0.0,0.0,0.10864790410244955,0.5834919430504854
47,Shotts,55.82052431475598,-3.7995390452885625,18.0,station_48,0.18181818181818182,0.16129032258064516,0.05405405405405406,48,0.5,1.0,1.0,0.0015168822143935678,Urban,0.2222222222222222,0.17094017094017094,0.03418803418803419,0.16405182175569077,0.46910793589743593,0.6402097350651519,0.049586776859504134,0.06306306306306306,0.0,0.0,0.028162459980641798,0.3598272509704342
48,Wishaw,55.77195700587245,-3.91742874845871,61.0,station_49,0.49350649350649356,0.4838709677419355,0.6216216216216217,49,0.7631578947368421,1.0,1.0,0.0012092844039508581,Urban,0.17798594847775176,0.15132408575031525,0.11601513240857503,0.33356783745656804,0.5806148880666356,0.6661640899845601,0.16804407713498623,0.21257427640406362,0.0,0.5,0.22015458838476246,0.48832224558726267
49,Ayr (new),55.46940956224353,-4.631451123959952,105.0,station_50,0.7662337662337663,0.6048387096774194,0.3783783783783784,50,0.8983050847457628,1.0,1.0,0.00045127260510988246,Urban,0.16054421768707483,0.1098901098901099,0.041025641025641026,0.7513053363316107,0.6339739380890296,0.6128729623872387,0.2892561983471075,0.33045811769216027,0.0,0.5,0.27992857900981694,0.6268487524798004
50,Cumnock,55.452284929514065,-4.2684621807759715,45.0,station_51,0.28571428571428575,0.22580645161290322,0.24324324324324326,51,0.7727272727272727,1.0,1.0,0.0012595990124451898,Urban,0.13968253968253966,0.09572649572649573,0.06153846153846154,0.30583964280123854,0.5690486086247085,0.6638275377142739,0.12396694214876033,0.17845505079547633,0.0,0.5,0.20060549823605917,0.4710793640798491
51,Dalmellington,55.32337489755193,-4.39981205008123,10.0,station_52,0.06493506493506494,0.05241935483870967,0.10810810810810811,52,0.8,1.0,1.0,0.001186023240943571,Urban,0.14285714285714285,0.1,0.12307692307692308,0.346386978359713,0.5843643923076922,0.5622028583855112,0.027548209366391185,0.014951121334100058,1.0,0.5,0.3856248326751228,0.4952900289020726
52,Galston,55.601487955909256,-4.383814482880296,15.0,station_54,0.15584415584415584,0.14919354838709678,0.0,54,0.5,1.0,0.5,0.000780799308521403,Urban,0.22857142857142856,0.18974358974358976,0.0,0.5697043888184632,0.45181261538461537,0.6540047240220089,0.04132231404958678,0.02127659574468085,0.0,0.5,0.1406497274485669,0.450629553637547
53,Girvan,55.24830597428874,-4.8468716190419,13.0,station_55,0.06493506493506494,0.04838709677419355,0.0,55,0.6,1.0,0.5,0.0008691646897541479,Urban,0.10989010989010989,0.07100591715976332,0.0,0.521006554035748,0.4571975934911242,1.0,0.03581267217630854,0.016676250718803912,1.0,0.5,0.3881222307237781,0.4517228782583851
54,Irvine,55.6217313755847,-4.671834648603675,76.0,station_56,0.48051948051948057,0.4475806451612903,0.43243243243243246,56,0.8108108108108109,1.0,1.0,0.0005989359739796292,Urban,0.13909774436090225,0.11234817813765183,0.06477732793522267,0.6699285998725892,0.5881898208502024,0.6849407651996576,0.209366391184573,0.20950737972014566,0.0,0.5,0.22971844272617967,0.572956301969922
55,Kilbirnie,55.75583310521664,-4.687106566571798,19.0,station_57,0.15584415584415584,0.12096774193548387,0.2972972972972973,57,0.6666666666666666,1.0,1.0,0.0009444487731822858,Urban,0.18045112781954886,0.12145748987854252,0.17813765182186236,0.4795177740926695,0.5349907759784075,0.6585513219560215,0.05234159779614325,0.04926202798543224,0.0,0.5,0.1504009064453939,0.4858307581204907
56,Kilmarnock,55.60717666736202,-4.498481516578767,179.0,station_58,0.7012987012987013,0.4959677419354839,0.6756756756756757,58,0.8703703703703703,1.0,1.0,0.0010158195185213561,Urban,0.08619313647246608,0.052857756768371296,0.042973785990545764,0.4401856202972039,0.5965447193413869,0.6756409721632032,0.4931129476584022,0.6453900709219857,0.0,0.5,0.409625754645097,0.5424475984739798
57,Lamlash,55.52917220012738,-5.131519859646447,8.0,station_59,0.012987012987012988,0.04838709677419355,0.0,59,0.0,1.0,0.5,0.0004935552593891387,Urban,0.03571428571428571,0.11538461538461539,0.0,0.7280035219384549,0.16110907692307694,0.8488592751665799,0.02203856749311295,0.015526164462334676,0.0,0.5,0.1343911829888619,0.29627495885362615
58,Largs,55.797928389737024,-4.866429812762827,14.0,station_60,0.07792207792207792,0.0967741935483871,0.05405405405405406,60,0.8333333333333334,1.0,1.0,0.0007947477716096975,Urban,0.12244897959183672,0.13186813186813187,0.04395604395604396,0.562017442398151,0.5955519542124541,0.5830339856375647,0.03856749311294766,0.01514280237684493,1.0,0.0,0.26342757387244814,0.5425435773126582
59,Millport,55.7500579944958,-4.936183823971273,3.0,station_62,0.025974025974025976,0.012096774193548387,0.0,62,0.0,1.0,0.0,0.0007408877600395607,Urban,0.19047619047619047,0.07692307692307693,0.0,0.5916994955760726,0.17865038461538463,0.66779574422631,0.008264462809917356,0.013801035077630822,0.0,0.5,0.13051637447188705,0.27571089621667255
60,Saltcoats,55.634177976731216,-4.78426363811726,84.0,station_63,0.38961038961038963,0.3548387096774194,0.32432432432432434,63,0.9666666666666667,1.0,1.0,0.0008116371052396987,Urban,0.10204081632653061,0.08058608058608059,0.04395604395604396,0.5527097930989573,0.6481093930402929,0.7285252976036847,0.23140495867768596,0.3645773433007476,0.0,0.5,0.2739955754946084,0.5860445908807064
61,Stewarton,55.68160810997495,-4.514792966468672,13.0,station_64,0.07792207792207792,0.06048387096774194,0.08108108108108109,64,0.6666666666666666,1.0,1.0,0.001057374012058847,Urban,0.13186813186813187,0.08875739644970414,0.07100591715976332,0.4172850925957712,0.5170423944773175,0.6205113007960116,0.03581267217630854,0.023768449300364196,1.0,0.5,0.3898952803691682,0.4686107581209211
62,Troon,55.546433712497034,-4.658128140699858,23.0,station_65,0.1168831168831169,0.1532258064516129,0.10810810810810811,65,0.5555555555555556,1.0,1.0,0.0009092322372778785,Urban,0.11180124223602485,0.12709030100334448,0.05351170568561873,0.49892547678310817,0.46273976737272393,0.6191455904029307,0.06336088154269973,0.029327199539965494,0.0,0.5,0.1481720202706663,0.4426845509245432
63,Annan,54.98683039677247,-3.263924726848742,23.0,station_66,0.24675324675324678,0.25,0.2972972972972973,66,0.3157894736842105,1.0,1.0,0.0005992149140098453,Urban,0.2360248447204969,0.20735785953177258,0.14715719063545152,0.6697748770535821,0.3922789320542158,0.6246243824146609,0.06336088154269973,0.18478052520605712,0.0,0.5,0.1870353516871892,0.44062267253583226
64,Castle Douglas,54.940813744405546,-3.9280386436715027,25.0,station_67,0.09090909090909091,0.13709677419354838,0.13513513513513514,67,0.14285714285714285,1.0,1.0,0.001814564890349283,Urban,0.08,0.10461538461538462,0.06153846153846154,0.0,0.25976578637362635,0.7322316666600768,0.06887052341597796,0.05117883841288096,0.0,0.5,0.15501234045721474,0.19574598597504747
65,Dumfries,55.07124652152023,-3.601948488532756,21.0,station_68,0.28571428571428575,0.1935483870967742,0.3783783783783784,68,0.36363636363636365,1.0,1.0,0.0006233655657998552,Urban,0.29931972789115646,0.17582417582417584,0.20512820512820512,0.6564655421720055,0.4298535394605395,0.6329106317142332,0.05785123966942149,0.769791067663408,0.0,0.5,0.33191057683320735,0.46752967000306156
66,Dumfries (Loreburn St),55.06997505149482,-3.6090863516858156,89.0,station_69,0.4155844155844156,0.3870967741935484,0.3783783783783784,69,0.875,1.0,1.0,0.0005709774703639292,Urban,0.10272873194221507,0.08297320656871218,0.04840103716508211,0.6853364278121667,0.6057534694252377,0.6355562064166117,0.24517906336088155,0.607437224458501,0.0,0.0,0.21315407195484565,0.5823078811570966
67,Newton Stewart,54.96167991727463,-4.484344386244068,18.0,station_70,0.09090909090909091,0.056451612903225805,0.13513513513513514,70,0.42857142857142855,1.0,1.0,0.0010484156749222698,Urban,0.1111111111111111,0.05982905982905983,0.08547008547008547,0.4222219990598066,0.3981598791208791,0.6466997987400492,0.049586776859504134,0.07264711520030669,0.0,0.5,0.1555584730149527,0.3830490128127443
68,Sanquhar,55.368585513308275,-3.927866790516721,15.0,station_71,0.18181818181818182,0.0846774193548387,0.10810810810810811,71,0.07142857142857142,0.9523809523809523,1.0,0.0015755930304696983,Urban,0.26666666666666666,0.1076923076923077,0.08205128205128205,0.13169650815495793,0.27032476666666666,0.6870898219175938,0.04132231404958678,0.04389495878857581,0.0,0.5,0.14630431820954065,0.23432507807503422
69,Stranraer,54.90522821603606,-5.022334018480314,36.0,station_72,0.15584415584415584,0.22983870967741934,0.13513513513513514,72,0.9166666666666666,1.0,1.0,0.00048090483012507723,Urban,0.09523809523809523,0.12179487179487179,0.042735042735042736,0.734975126718941,0.6264596410256409,0.9654544547587596,0.09917355371900827,0.06555491661874639,0.0,0.5,0.16618211758443868,0.604997590184571
